epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.271,1.80854,1.68268,1.29588,0.68365,0.45775,0.48202,0.25138,1.57846,1.43157,1.2463,0.0670789,0.000332536,0.000332536
2,1774.71,1.66047,1.25644,1.21878,0.8069,0.65409,0.7404,0.40072,1.49012,1.12817,1.17955,0.034046,0.000632909,0.000632909
3,2737.03,1.60915,1.1388,1.18335,0.83562,0.74227,0.81133,0.44629,1.40825,0.93876,1.1353,0.000980026,0.000900281,0.000900281
4,3670.03,1.56962,1.07577,1.16427,0.8581,0.71437,0.79672,0.44975,1.35936,0.9044,1.11165,0.0008515,0.0008515,0.0008515
5,4971.03,1.527,0.99953,1.13943,0.88055,0.71315,0.77656,0.45853,1.27453,0.77059,1.07578,0.000802,0.000802,0.000802
6,7088.29,1.50304,0.95458,1.12382,0.89394,0.70413,0.77086,0.46468,1.26436,0.74703,1.06424,0.0007525,0.0007525,0.0007525
7,9119.02,1.48933,0.93324,1.11686,0.88057,0.7662,0.83811,0.49715,1.27854,0.7316,1.06311,0.000703,0.000703,0.000703
8,14094.9,1.4565,0.88722,1.09806,0.88356,0.75772,0.83099,0.5008,1.23641,0.7227,1.04627,0.0006535,0.0006535,0.0006535
