epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4093.93,1.17104,1.22089,1.02963,0.96,0.94994,0.98317,0.76068,1.0856,0.95307,1.05045,0.000643101,0.000643101,0.000643101
43,4190,1.15584,1.21668,1.02268,0.95364,0.95613,0.97712,0.75235,1.07435,0.96141,1.04345,0.000628101,0.000628101,0.000628101
44,4286.11,1.16134,1.20234,1.02562,0.96185,0.95352,0.98306,0.75681,1.07524,0.94085,1.04292,0.000612981,0.000612981,0.000612981
45,4382.19,1.158,1.20434,1.02445,0.96542,0.96239,0.98471,0.75799,1.07505,0.94292,1.04195,0.000597754,0.000597754,0.000597754
46,4478.11,1.14736,1.19103,1.02474,0.96432,0.9582,0.98228,0.76517,1.07718,0.92452,1.05068,0.000582435,0.000582435,0.000582435
47,4574.46,1.15332,1.19326,1.02048,0.95624,0.95342,0.9835,0.76772,1.05603,0.90801,1.03821,0.00056704,0.00056704,0.00056704
48,4670.5,1.13743,1.16916,1.01843,0.96788,0.97005,0.98549,0.77762,1.06293,0.88968,1.04282,0.000551584,0.000551584,0.000551584
49,4766.73,1.13315,1.15774,1.01414,0.96262,0.96553,0.98385,0.77224,1.06221,0.89028,1.04463,0.000536081,0.000536081,0.000536081
50,4863.37,1.12458,1.13896,1.01305,0.95813,0.9545,0.98361,0.77062,1.05188,0.90046,1.03263,0.000520548,0.000520548,0.000520548
51,4984.3,1.13239,1.14863,1.01176,0.971,0.96384,0.98575,0.7665,1.06433,0.8861,1.04254,0.000505,0.000505,0.000505
52,5351.13,1.11481,1.11979,1.00597,0.96812,0.95693,0.98545,0.76592,1.0596,0.89233,1.04327,0.000489452,0.000489452,0.000489452
53,5452.46,1.10797,1.11304,1.00892,0.96301,0.96256,0.98295,0.77365,1.04692,0.86418,1.03045,0.000473919,0.000473919,0.000473919
54,5554.01,1.11226,1.13303,1.00829,0.95906,0.96581,0.98539,0.77309,1.05755,0.88143,1.04306,0.000458416,0.000458416,0.000458416
55,5655.6,1.09922,1.09331,1.00415,0.95177,0.96379,0.98563,0.77502,1.0518,0.87785,1.03495,0.00044296,0.00044296,0.00044296
56,5756.08,1.10678,1.11269,1.00416,0.96528,0.96715,0.98673,0.77522,1.06251,0.87163,1.03833,0.000427565,0.000427565,0.000427565
57,5856.4,1.10548,1.10211,1.00412,0.95609,0.96754,0.98559,0.77297,1.04614,0.86849,1.03271,0.000412246,0.000412246,0.000412246
58,5957.18,1.09617,1.09201,1.00142,0.96373,0.9711,0.9836,0.77165,1.05025,0.85301,1.03492,0.000397019,0.000397019,0.000397019
